Date_Post,Job_Title,Company_Name,Image_Link,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Skills,Job_Description,Job_Requirement
3 hours ago,School Principal-American Division,International Modern School -,,https://wuzzuf.net/jobs/p/IqjGKwoz2Yhn-School-Principal-American-Division-International-Modern-School-Cairo-Egypt,"Shorouk City, Cairo, Egypt ",Full Time,On-site,'2 - 20,"['Education', 'Management', 'English', 'Computer Skills', 'Academic Writing', 'Team Coaching', 'Culture Management', 'Teaching', 'Administration', 'Training']","Oversee day-to-day school operations 
 Manage school logistics and budgets 
 Set learning goals for students and teachers based on national curricula 
 Monitor and report on teacher performance 
 Present data from school performance to board members 
 Research new resources and techniques to improve teaching 
 Interview and hire school personnel 
 Review and implement school policies 
 Provide guidance and counseling to teachers 
 Handle emergencies and school crises 
 Organize school events and assemblies 
 Ensure a safe and clean environment for students (e.g. implementing hygiene rules) 
 Attend conferences to gain knowledge on current educational trends",No list items found in the requirements section.
3 hours ago,Customer Support Representative- English account UAE,Etisalat Egypt -,,https://wuzzuf.net/jobs/p/PR0Jnx4uUCr8-Customer-Support-Representative--English-account-UAE-Etisalat-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'2 ,"['Customer Support', 'Customer Service', 'Customer Care', 'Communication skills', 'English', 'B2', 'Communication', 'Service', 'Skills', 'Call Center', 'Customer Relations', 'Customer Satisfaction', 'Time Management', 'Problem Solving', 'handling', 'Team Player', 'fluent in english', 'Multitasking']","We are hiring Customer Service Representatives to join our dynamic call center team. If you’re passionate about helping others, possess excellent communication skills, and are looking to grow in a fast-paced environment, this is a golden opportunity for you! 
 Key Responsibilities : 
 -Communicating with business customers via inbound calls. 
 -Responding promptly to customer inquiries. 
 - Acknowledging and resolving customer complaints. 
 - Processing orders, forms, applications, and requests. 
 -Ensure customer satisfaction and provide professional customer support.",No list items found in the requirements section.
4 hours ago,Biomedical Engineer (Service and Installation),BTL Industries Egypt -,,https://wuzzuf.net/jobs/p/i0n01pa162Hs-Biomedical-Engineer-Service-and-Installation-BTL-Industries-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,Hybrid,'0 - 10,"['Biomedical Engineering', 'Biomedical', 'Interpersonal skills', 'Engineering', 'Electronic', 'Communication', 'Medical', 'Maintenance', 'medical device']","Install, maintain, troubleshoot, and repair a wide range of biomedical equipment. 
 Perform preventive and corrective maintenance as per manufacturer guidelines. 
 Ensure compliance with hospital protocols, safety standards, and regulatory requirements. 
 Provide technical support and training to healthcare professionals and end-users. 
 Keep accurate service and equipment records and report regularly.","Bachelor’s degree in Biomedical Engineering. 
 Good knowledge of electrical/electronic circuits, medical device interfaces, and diagnostic tools. 
 Ability to read and understand technical operating and maintenance manuals 
 Excellent problem-solving skills and attention to detail. 
 Strong communication and interpersonal skills. 
 Ability to work independently and in a team. 
 Willingness to travel to customer sites as required. 
 A valid driver's license and having a personal car are required."
5 hours ago,Sales Back Office (Hurghada),Fine Hygienic Holding -,,https://wuzzuf.net/jobs/p/vIbWx8NZJdww-Sales-Back-Office-Hurghada-Fine-Hygienic-Holding-Red-Sea-Egypt,"Hurghada, Red Sea, Egypt ",Full Time,On-site,'1 - 3,"['order management', 'Order Tracking', 'Customer Support', 'Sales Force', 'Reporting Analysis', 'Communication skills', 'sales skills']","Role Purpose: 
 Job holder is responsible for managing Fine Solutions orders for the existing customers, starting from getting the order from the customer to final delivery in the customer's warehouse, in addition to reporting and full alignment with the Sales Team, sales support team, and Distribution team. 
 Job Description: 
 • Sales Implementation: 
 Follow up on existing customers and proceed with their monthly orders, and ensure satisfying their needs and handling their requirements. 
 • Sales Force update 
 Update customers data database (contacts from different divisions, Address of branches, address of head office, etc. 
 Attach all customer proposals and contracts on SF system. 
 • Order Management: 
 - Applying discounts on the Salesforce system and syncing customer prices with system prices before making any orders 
 - Revising customer contract and prices on system before proceeding with any orders with the customers 
 - Making orders right away on Sales Force System once the customer send it. 
 - Make sure that the customer doesn’t have any pending payments and report back to the sales account manager 
 - Communicate with the customer that he needs to follow with the account manager regarding the hold order 
 - Once order released from credit team, the candidate should Follow up with the process to make sure order reached the distribution phase 
 - Make sure the order to be delivered within the company SLA and customer is well communicated and well satisfied 
 - In case of missing SKUs, the candidate should report to sales team to align with customer then he/she will implement the new orders based on the new agreement 
 • Reporting and Analysis: 
 Revising Daily Sales Report and report achievements to his/her direct manager 
 Revising hold orders and communicate with the sales team 
 Weekly report with all customers orders and customers didn’t order 
 Weekly Revision on printed SKUs and stocks on ground for the customers 
 • Customer Satisfaction and Complaints: 
 Responsible for handling customer complaints in efficient and professional manner within FS policies and systems. 
 Responsible for coordinating with own manager to measure and analyse customer satisfaction and implement necessary actions required.","BA in business administration or any related field 
 A minimum of 1 year of stretching experience 
 Strong Communication skills. 
 Achievement Eagerness. 
 Strong negotiation skills. 
 Solid analytical and presentation skills. 
 Strong sense of teamwork and excellent people development and motivational capability"
5 hours ago,hair transplant clinic social media moderator,Turkey Hair Clinic -,,https://wuzzuf.net/jobs/p/zQGZMp0eJrc4-hair-transplant-clinic-social-media-moderator-Turkey-Hair-Clinic-Giza-Egypt,"Dokki, Giza, Egypt ",Full Time,Hybrid,'1 - 5,"['Social Media', 'Customer Service', 'CRM', 'Lead Management', 'Multilingualism', 'Sales', 'Sales Leads', 'Follow Up']","We are looking for persuasive and customer-focused 
 Social Media Moderators 
 to manage interactions on our Facebook, Instagram, and TikTok accounts for our hair transplant clinic. Your main goal is not just to answer inquiries—but to 
 convert leads into booked consultations 
 . You will be the first point of contact for potential clients, so strong communication and 
 sales ability 
 are essential. This role is remote and ideal for individuals who are confident, sales-driven, and passionate about delivering excellent service.","Strong sales skillswith a proven ability to convert leads into customers 
 Experience in social media moderation, customer service, or sales 
 Excellent written communication skills with a persuasive and empathetic tone 
 Ability to handle objections and guide customers toward booking consultations 
 Familiarity with Facebook, Instagram, and TikTok (DMs, comments, inbox) 
 Comfortable using scripts while adapting to individual conversations 
 Available to work evenings, weekends, or flexible shifts 
 Basic knowledge of hair transplant procedures is a plus 
 Highly organized and able to track leads and follow-ups"
5 hours ago,Ships Agency Manager – Maritime Operations,Ascent Talent solutions LLC -,,https://wuzzuf.net/jobs/p/iZNe0HITaOUQ-Ships-Agency-Manager-–-Maritime-Operations-Ascent-Talent-solutions-LLC-Alexandria-Egypt,"Alexandria, Egypt ",Full Time,On-site,'7 - 12,"['English', 'Logistics', 'Maritime', 'Operations', 'Supply Chain', 'Shipping', 'Leadership']","A leading global maritime group is hiring a 
 Ships Agency Manager 
 to lead port service operations across Egypt. This is a 
 senior-level role 
 based in Alexandria, focused on operational control, financial performance, and client satisfaction. 
 ???? 
 Key Responsibilities 
 : 
 Lead all port agency activities, vendor management, and cost control 
 Drive commercial growth and ensure SOP compliance 
 Collaborate closely with 
 Country Managers, Key Account Managers, and internal functions 
 Report directly to the 
 Vice President 
 ???? 
 Performance Will Be Measured By 
 : 
 Port Contribution 
 (country/territory) 
 EBIT & EBIT Margin 
 (country/territory) 
 Service Quality 
 (customer satisfaction, IP resolution, Blue Pennant)",No list items found in the requirements section.
5 hours ago,Non-Voice {Mial&Chat} b2 English speakers Etisalat UAE,Etisalat Egypt -,,https://wuzzuf.net/jobs/p/PDsUDXpAQuEG-Non-Voice-MialChat-b2-English-speakers-Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'Not specified,"['Customer Service', 'Customer Support', 'Customer Care', 'Customer Relations', 'Custom Clearance', 'Customs Clearance', 'Customer Satisfaction', 'Customer Retention', 'Customer Operations Performance Centre', 'Customer Service Management', 'English Teaching', 'English Training', 'English Education', 'English Instructing', 'English Literature', 'Business English', 'Teaching English as a Foreign  Language', 'English Translation', 'Business Administration', 'Business Development', 'International Business Development', 'Retail Business', 'Business Analysis', 'Business Analytics', 'Business Planning', 'Business Plan', 'Business Plans', 'Commerce', 'Communication', 'Sales', 'Vodafoneuk', 'Call Center', 'Outbound Calls', 'Inbound Calls', 'call']","Etisalat UAE is Hiring Immediately For a Customer Service Representatives (Back Office-Mail & Chat- 
 English Account) 
 Job benefits: 
 ﻿﻿salary upto 15k 
 ﻿﻿Social and Medical insurance 
 ﻿﻿15% COLA increases from day 1 
 ﻿﻿Free VPN line 
 Working conditions: 
 ﻿﻿8 working hours, 1 hour break (Rotational Shifts) 
 ﻿﻿5 working days,2 days off (Rotational) 
 ﻿﻿Location: Maadi (Transportation NOT provided)","﻿﻿Graduates Only 
 ﻿﻿English Level B2 
 ﻿﻿Strong interpersonal skills 
 ﻿﻿No previous experience required 
 ﻿﻿Excellent soft skills 
 ﻿﻿Excellent handling skills"
5 hours ago,Civil Site Engineer,Royal Tents  -,,https://wuzzuf.net/jobs/p/3ZTdmQj03jyE-Civil-Site-Engineer-Royal-Tents-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'1 - 3,"['Civil Engineering', 'AutoCAD', 'Construction', 'Civil', 'Engineering', 'Microsoft Office', 'Site Supervision', 'Site']","Supervise site activities and ensure implementation of project plans. 
 Coordinate with the factory and project teams to align execution with design and timelines. 
 Oversee technical workers on-site. 
 Ensure materials and work quality meet company standards. 
 Prepare and submit progress reports and daily logs. 
 Monitor safety compliance and resolve on-site issues promptly. 
 Communicate with clients, project managers, and engineers.","Bachelor's degree in Civil Engineering or equivalent. 
 Cairo resident (must). 
 Owns a personal car (must). 
 1–3 years of experience in site supervision. 
 Proficient in AutoCAD and Microsoft Office."
6 hours ago,HR Coordinator,Fine Hygienic Holding -,,https://wuzzuf.net/jobs/p/OAPTiLoyuTGg-HR-Coordinator-Fine-Hygienic-Holding-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'1 - 3,"['HR Functions', 'Talent acquisition', 'Talent management', 'Performance Management', 'social media trends', 'Creative Ideas', 'Human Resources (HR)', 'Communication', 'Recruitment']","Assist in day-to-day HR operations and administrative tasks. 
 Support the recruitment process (posting jobs, scheduling interviews, coordinating with candidates). 
 Maintain employee records (digital and physical) in compliance with policies and legal requirements. 
 Help organize and coordinate onboarding and offboarding processes. 
 Support the performance appraisal and employee engagement processes. 
 Coordinate training sessions, workshops, and employee development initiatives. 
 Handle employee inquiries and direct them to the appropriate HR personnel when necessary.","Bachelor's degree in Human Resources, Business Administration, or related field. 
 Proven experience in an HR role (1–3 years preferred). 
 Knowledge of HR functions and best practices. 
 Excellent organizational and time-management skills. 
 Strong communication and interpersonal skills. 
 Attention to detail and confidentiality."
6 hours ago,Growth Marketing Associate,Dish'd -,,https://wuzzuf.net/jobs/p/NqeqSFtyRhZ2-Growth-Marketing-Associate-Dishd-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,Hybrid,'3 - 5,"['Marketing', 'Communication', 'English', 'Growth']","Manage the marketing process for Dish'd franchise partner locations, regularly 
 monitoring and adjusting strategies to drive consistent sales growth. 
 Analyze weekly marketing data to identify emerging trends and optimize 
 campaigns using data-driven insights. 
 Working with the Data team to ensure marketing reporting requirements are 
 met 
 Working with internal and external stakeholders in managing local and 
 national campaigns 
 Investigate and resolve the root causes of marketing inefficiencies to improve 
 overall performance. 
 Update and maintain the marketing tracker to ensure alignment with the 
 marketing plan and business objectives. 
 Implement and monitor marketing plans for new locations, ensuring they meet 
 performance targets. 
 Lead targeted marketing campaigns, including relaunches for 
 underperforming locations, to maximize results. 
 Participate in marketing analysis to continuously refine strategies and 
 enhance store performance. 
  
  
  
  
 ","Fluency in spoken and written English. 
 English to be at the standard of IELTS Level 8 or Cambridge C2. 
 Growth-focused marketer with experience of managing online channels. 
 Strategic, data-driven mindset with a hands-on approach to campaign management. 
 Data and results driven with a mindset of test, learn, iterate and repeat. 
 Strong in communication skills, both verbal and written 
 Able to work independently 
 Excellent attention to detail and organizational skills 
 Hard working and highly motivated 
 Flexible and able to work in a fast-paced environment with tight deadlines 
 Able to build and maintain strong internal and external relationships. 
 Technically literate (Gmail, Excel, Word)"
